wall_time,iter,epoch,tag,value
1786009016.174117,20,0,Loss/l_ce,1.7956860065460205
1786009016.17437,20,0,Loss/l_total,1.7956860065460205
1786009016.1743975,20,0,LR,0.0001
1786009021.9498017,40,0,Loss/l_ce,3.7736408710479736
1786009021.95,40,0,Loss/l_total,3.7736408710479736
1786009021.9500227,40,0,LR,0.0001
1786009028.0752356,60,0,Loss/l_ce,0.22034215927124023
1786009028.0755417,60,0,Loss/l_total,0.22034215927124023
1786009028.0755644,60,0,LR,0.0001
1786009034.8305907,80,0,Loss/l_ce,0.45830345153808594
1786009034.8308864,80,0,Loss/l_total,0.45830345153808594
1786009034.8309126,80,0,LR,0.0001
1786009041.6221006,100,0,Loss/l_ce,0.5767700672149658
1786009041.6224222,100,0,Loss/l_total,0.5767700672149658
1786009041.6224473,100,0,LR,0.0001
1786009060.5283768,120,0,Loss/l_ce,0.6047687530517578
1786009060.528664,120,0,Loss/l_total,0.6047687530517578
1786009060.528688,120,0,LR,0.0001
1786009126.46449,140,0,Loss/l_ce,0.5775535106658936
1786009126.464782,140,0,Loss/l_total,0.5775535106658936
1786009126.4648046,140,0,LR,0.0001
1786009233.5630116,160,0,Loss/l_ce,0.4027566909790039
1786009233.5633273,160,0,Loss/l_total,0.4027566909790039
1786009233.5633512,160,0,LR,0.0001
1786009328.7495725,180,0,Loss/l_ce,0.35846686363220215
1786009328.74988,180,0,Loss/l_total,0.35846686363220215
1786009328.749906,180,0,LR,0.0001
1786009360.3258085,200,0,Loss/l_ce,0.32730960845947266
1786009360.3261232,200,0,Loss/l_total,0.32730960845947266
1786009360.3261495,200,0,LR,0.0001
1786009440.2211714,220,0,Loss/l_ce,0.4025447368621826
1786009440.2213354,220,0,Loss/l_total,0.4025447368621826
1786009440.2213554,220,0,LR,0.0001
1786009507.5714436,240,0,Loss/l_ce,0.7042512893676758
1786009507.571644,240,0,Loss/l_total,0.7042512893676758
1786009507.5716658,240,0,LR,0.0001
1786009522.4593709,260,0,Loss/l_ce,0.2936515808105469
1786009522.4595249,260,0,Loss/l_total,0.2936515808105469
1786009522.4595463,260,0,LR,0.0001
1786009526.7971704,280,0,Loss/l_ce,3.8285787105560303
1786009526.7973342,280,0,Loss/l_total,3.8285787105560303
1786009526.797358,280,0,LR,0.0001
1786009531.4242852,300,0,Loss/l_ce,0.2401125431060791
1786009531.4244337,300,0,Loss/l_total,0.2401125431060791
1786009531.4244573,300,0,LR,0.0001
1786009539.7848246,320,0,Loss/l_ce,0.8000845909118652
1786009539.7850547,320,0,Loss/l_total,0.8000845909118652
1786009539.785081,320,0,LR,0.0001
1786009544.3033388,340,0,Loss/l_ce,0.28972482681274414
1786009544.3034787,340,0,Loss/l_total,0.28972482681274414
1786009544.3035061,340,0,LR,0.0001
1786009556.6791794,360,0,Loss/l_ce,0.2694098949432373
