wall_time,iter,epoch,tag,value
1786448406.7400212,20,0,Loss/l_ce,31.09232521057129
1786448406.7403467,20,0,Loss/l_total,31.09232521057129
1786448406.7403762,20,0,LR,0.0001
1786448421.6558428,40,0,Loss/l_ce,1.2417590618133545
1786448421.656008,40,0,Loss/l_total,1.2417590618133545
1786448421.6560543,40,0,LR,0.0001
1786448435.164991,60,0,Loss/l_ce,2.531996250152588
1786448435.1651525,60,0,Loss/l_total,2.531996250152588
1786448435.165175,60,0,LR,0.0001
1786448450.6358254,80,0,Loss/l_ce,0.512028694152832
1786448450.6359987,80,0,Loss/l_total,0.512028694152832
1786448450.6360247,80,0,LR,0.0001
1786448463.8055756,100,0,Loss/l_ce,0.5843524932861328
1786448463.805812,100,0,Loss/l_total,0.5843524932861328
1786448463.805838,100,0,LR,0.0001
1786448488.8051834,120,0,Loss/l_ce,0.7074389457702637
1786448488.805638,120,0,Loss/l_total,0.7074389457702637
1786448488.805669,120,0,LR,0.0001
1786448514.0914352,140,0,Loss/l_ce,0.5111472606658936
1786448514.0919504,140,0,Loss/l_total,0.5111472606658936
1786448514.0919764,140,0,LR,0.0001
1786448533.3478227,160,0,Loss/l_ce,0.8199076652526855
1786448533.348052,160,0,Loss/l_total,0.8199076652526855
1786448533.3480768,160,0,LR,0.0001
1786448555.4632387,180,0,Loss/l_ce,0.6303567886352539
1786448555.4636152,180,0,Loss/l_total,0.6303567886352539
1786448555.4636507,180,0,LR,0.0001
1786448579.4876728,200,0,Loss/l_ce,0.7865238189697266
1786448579.4879293,200,0,Loss/l_total,0.7865238189697266
1786448579.4879556,200,0,LR,0.0001
1786448603.9777343,220,0,Loss/l_ce,0.9803378582000732
1786448603.9779327,220,0,Loss/l_total,0.9803378582000732
1786448603.9779599,220,0,LR,0.0001
1786448627.8056953,240,0,Loss/l_ce,0.47585415840148926
1786448627.8059788,240,0,Loss/l_total,0.47585415840148926
1786448627.8060076,240,0,LR,0.0001
1786448644.846523,260,0,Loss/l_ce,1.161849021911621
1786448644.8467607,260,0,Loss/l_total,1.161849021911621
1786448644.846782,260,0,LR,0.0001
1786448665.4461071,280,0,Loss/l_ce,0.45972633361816406
1786448665.446347,280,0,Loss/l_total,0.45972633361816406
1786448665.4463696,280,0,LR,0.0001
1786448685.2057135,300,0,Loss/l_ce,0.39441823959350586
1786448685.2060945,300,0,Loss/l_total,0.39441823959350586
1786448685.2061253,300,0,LR,0.0001
1786448709.2886887,320,0,Loss/l_ce,0.932058572769165
1786448709.2890756,320,0,Loss/l_total,0.932058572769165
1786448709.289103,320,0,LR,0.0001
1786448735.0930004,340,0,Loss/l_ce,0.25843048095703125
1786448735.0933197,340,0,Loss/l_total,0.25843048095703125
1786448735.093347,340,0,LR,0.0001
1786448761.5960224,360,0,Loss/l_ce,0.3521277904510498
1786448761.5963166,360,0,Loss/l_total,0.3521277904510498
1786448761.5963464,360,0,LR,0.0001
1786448792.7322423,380,0,Loss/l_ce,2.9716193675994873
1786448792.7325904,380,0,Loss/l_total,2.9716193675994873
1786448792.732614,380,0,LR,0.0001
1786448814.5046601,400,0,Loss/l_ce,4.341129779815674
1786448814.5049343,400,0,Loss/l_total,4.341129779815674
1786448814.5049605,400,0,LR,0.0001
1786448842.149095,420,0,Loss/l_ce,0.42882871627807617
1786448842.1494787,420,0,Loss/l_total,0.42882871627807617
1786448842.1495035,420,0,LR,0.0001
1786448867.240001,440,0,Loss/l_ce,0.5101561546325684
1786448867.2401898,440,0,Loss/l_total,0.5101561546325684
1786448867.2402134,440,0,LR,0.0001
1786448895.5992813,460,0,Loss/l_ce,0.9221758842468262
1786448895.5994997,460,0,Loss/l_total,0.9221758842468262
1786448895.5995224,460,0,LR,0.0001
1786448920.7312045,480,0,Loss/l_ce,0.41351747512817383
1786448920.7313743,480,0,Loss/l_total,0.41351747512817383
1786448920.731397,480,0,LR,0.0001
